ID,TemporaryMark,Gender,AutonomousCommunity,SchoolOwnership,Pond,PondMax3,KindOfPlace,Income,LivingUnit,DependentPersons,WorkConfinement,WorkConfinementsSecondAdult,ChildEarlyEducation1,ChildEarlyEducation2,ChildPrimaryEducation,ChildSecondaryEducation,ChildBaccaleaurate,ChildVocationalTraining,ChildrenSpecialNeeds,WorkloadChange,HouseworkMore,Sleep,Leisure,Sports,Friends,ExtendedFamily,Past,Future,Sex,Reconciling,DomesticHelp,Tired,TimeOff,InterruptChildren,InterruptChildrenFrequency,ChildrenSchookwork,ShareElectronicDevices,Bedtime,PositiveImpact,Bonding,BondingNeighbours,TastesAndAbilities,Responsability,Adaptarion,Understanding,NegativeImpact,Anxiety,Loneliness,Sadness,LossFamilyMember,FinancialLoss,Arguments,AlcoholMedicationDrug,TechnologyUse,NegativeImpactOther,NegativeImpactNoanswer,ChildPhysicalActivity,ChildScreens,ChildSleep,ChildDiet,ChildFear,ChildFrustation,Irritability,Boredom,ChildFake,ChildIFriends,ChildFriendship,ChildSpace,ChildIntrospection,ChildLeavingHome,ChildNoVariation,ChildNoAnswers,ChildMissExercise,ChildMissFriends,ChildMissExperience,ChildMissContents,ChildMissGroup,ChildMissExam,ChildMissTeacher,HelpOnline,SchoolCommunication,ParentsGroups,ParentsCommunicationReturn,SchoolFees,ChallengeContent,ChallengeMonitoring,ChallengeEmotionalSupport,ChallengeNeeds,ChallengeEvaluation,ChallengeCommunication,ChallengeOnline,ChallengeEquipment,ChallengeVulnerable,ChallengeAny,PriorityCustody,PriorityContent,PriorityAutonomy,PrioritySocialisation,PriorityEmotional,FamiliesCollaboration,SchoolSpace,SpaceBarracks,SpacePorch,SpaceDining,SpaceHall,SpaceGym,SpaceOther,SpaceNone,SpaceStreet,SpacePlots,SpaceParks,SpacePublic,SpaceSurroundingOther,SpaceSurroundingNone,ActivitiesOutside,Selección,filter_,SchoolOwnership1
47,2020/07/02 9:58:25 p. m. EET,,PAIS VASCO,Público,1.77,1.77,2,28443,2,0,1,1,1,0,0,0,0,0,0,3,2,2,2,2,3,3,2,2,2,2,0,2,0,1,1,,1,1,2,1,0,0,0,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,,3,3,1,,0,0,0,0,0,0,0,0,0,1,1,2,3,3,3,3,1,1,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,Público
48,2020/07/02 10:31:34 p. m. EET,2,PAIS VASCO,Público,1.77,1.77,2,29505,2,0,1,0,1,0,0,0,0,0,0,4,2,3,3,1,1,4,3,3,3,2,0,2,1,1,2,,0,0,1,0,0,0,0,0,0,2,1,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,3,4,4,2,,1,1,1,1,0,1,0,0,1,0,3,2,3,3,3,2,1,0,1,1,0,0,0,0,1,0,1,1,0,0,2,1,1,Público
49,2020/07/02 5:15:58 p. m. EET,2,PAIS VASCO,Público,1.77,1.77,2,29505,2,0,1,1,0,1,1,1,0,0,0,3,2,3,3,3,3,4,3,3,3,2,2,0,2,1,2,2,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,1,0,1,0,1,0,0,1,1,0,0,0,0,0,4,2,3,2,,0,0,0,0,0,0,0,0,0,1,1,3,3,2,2,3,1,0,1,1,0,0,0,0,0,0,1,1,0,0,2,1,1,Público
50,2020/07/02 7:39:39 p. m. EET,2,PAIS VASCO,Concertado,.03,.03,2,29505,2,0,1,1,1,0,0,0,0,0,0,4,2,2,4,3,2,2,4,1,,2,2,2,0,1,1,2,1,1,2,0,0,1,0,1,0,2,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,1,1,1,0,1,0,0,1,1,1,0,1,0,0,3,2,3,2,2,0,0,0,0,0,0,0,0,0,1,2,3,2,3,3,3,1,0,1,0,0,0,0,0,1,0,1,0,0,0,3,1,1,Concertado
51,2020/07/02 9:57:42 p. m. EET,2,PAIS VASCO,Público,1.77,1.77,2,29505,2,0,1,1,0,1,0,0,0,0,0,1,2,3,1,1,2,1,4,4,2,2,0,1,0,0,,2,0,1,1,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1,0,1,0,0,0,0,0,0,1,0,0,2,2,4,2,2,0,0,0,0,0,0,0,0,0,1,2,3,2,2,2,2,1,0,0,0,0,0,1,0,0,0,1,0,0,0,3,1,1,Público
52,2020/07/02 10:18:39 p. m. EET,2,PAIS VASCO,Público,1.77,1.77,2,36046,2,0,0,1,1,0,0,0,0,0,0,6,2,3,1,1,3,1,3,3,1,2,0,2,0,0,,,0,0,2,1,0,1,1,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,1,1,0,0,0,1,0,0,0,0,0,3,1,4,3,,0,0,0,0,0,0,0,0,0,1,1,1,3,3,3,3,1,0,1,0,0,1,1,0,1,1,1,1,1,0,3,1,1,Público
53,2020/07/02 4:28:52 p. m. EET,2,PAIS VASCO,Público,1.77,1.77,2,36046,2,1,1,0,0,1,0,0,0,0,0,3,1,3,2,1,2,1,2,2,2,0,0,2,0,0,,2,0,1,0,0,0,0,0,1,0,2,1,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,1,0,0,0,0,1,4,2,3,3,2,1,0,0,1,0,0,0,1,0,0,3,1,3,3,3,3,1,1,1,1,0,1,0,0,1,0,0,1,0,0,3,1,1,Público
54,2020/07/02 4:50:09 p. m. EET,2,PAIS VASCO,Concertado,.03,.03,2,36046,2,0,1,1,0,0,1,1,0,0,0,5,2,2,1,3,2,2,4,2,3,2,0,2,0,1,3,2,1,1,1,1,1,0,0,1,0,2,1,0,1,0,1,1,0,0,0,0,1,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,3,3,4,2,2,0,1,1,0,0,1,1,0,0,0,2,2,3,3,3,3,1,0,1,0,1,1,0,0,0,1,1,0,0,0,3,1,1,Concertado
55,2020/07/02 4:59:47 p. m. EET,2,PAIS VASCO,Público,1.77,1.77,2,36046,2,0,0,1,0,1,0,0,0,0,0,7,2,2,2,3,2,3,3,3,3,2,0,2,0,0,,2,1,0,2,1,0,0,0,1,1,2,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,1,1,0,0,1,0,0,1,1,1,1,1,0,0,2,3,3,2,,0,0,0,0,0,1,1,0,0,0,1,3,3,3,3,3,2,0,1,1,1,1,1,0,0,0,0,1,0,0,2,1,1,Público
56,2020/07/02 8:26:09 p. m. EET,2,PAIS VASCO,Concertado,.03,.03,2,36046,2,0,0,1,0,1,0,0,0,0,0,7,2,2,1,1,2,3,3,3,1,2,0,2,0,0,,2,1,1,0,0,0,0,0,0,0,2,1,0,1,0,0,1,0,0,0,0,1,1,0,1,0,0,1,1,1,1,0,1,0,1,0,0,1,1,1,0,0,0,1,2,2,3,2,1,0,0,0,0,0,1,1,0,0,0,1,3,3,3,3,2,2,0,1,0,1,1,0,0,0,0,1,1,0,0,3,1,1,Concertado
57,2020/07/03 4:42:48 a. m. EET,1,PAIS VASCO,Público,1.77,1.77,2,36046,3,0,1,1,0,1,0,0,0,0,0,3,2,2,1,2,3,3,4,4,1,2,2,2,0,1,2,4,1,1,2,1,0,1,0,1,0,2,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,4,2,3,2,2,0,0,0,0,0,0,0,0,0,1,3,3,3,3,3,3,1,0,1,1,0,1,0,0,0,0,0,0,0,0,3,1,1,Público
58,2020/07/03 3:15:30 a. m. EET,2,PAIS VASCO,Concertado,.03,.03,2,50659,2,0,0,0,0,0,1,1,1,0,0,,2,4,4,3,3,3,4,3,3,0,0,0,2,0,,3,0,0,2,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,4,3,3,2,2,0,0,0,0,0,0,0,0,0,1,1,2,2,3,3,3,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,Concertado
59,2020/07/02 4:49:08 p. m. EET,2,PAIS VASCO,Concertado,.03,.03,2,33254,2,0,0,0,1,0,1,0,0,0,0,7,2,2,1,4,4,3,4,1,2,0,2,0,0,0,,2,0,0,2,0,0,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,2,3,2,2,0,0,0,0,0,0,0,0,0,1,1,3,3,3,3,2,2,0,0,1,1,1,0,0,0,0,0,1,0,0,2,1,1,Concertado
